sample_id,AnyGrasp_Group_B_precision,AnyGrasp_Group_D_precision,CGN_Native_palm_precision,CGN_Mask_palm_precision,CGN_Native_contact_precision,CGN_Mask_contact_precision,CGN_Native_num_grasps,CGN_Mask_num_grasps,CGN_contact_absolute_gain,CGN_contact_relative_gain
0,0.56,0.88,0.12,0.2564102564102564,0.24,1.0,50,39,0.76,3.166666534722228
1,0.48,0.94,0.12,0.36585365853658536,0.24,1.0,50,41,0.76,3.166666534722228
2,0.46,0.96,0.2,0.10810810810810811,0.16,1.0,50,37,0.84,5.24999967187502
3,0.78,0.96,0.0,0.25,0.0,1.0,50,4,1.0,100000000.0
4,0.7,0.92,0.0,0.14285714285714285,0.06,1.0,50,7,0.94,15.66666405555599
5,0.74,0.92,0.0,0.0,0.1,1.0,50,11,0.9,8.99999910000009
6,0.82,0.98,0.04,0.1111111111111111,0.26,1.0,50,9,0.74,2.8461537366863947
7,0.8,0.96,0.0,0.0,0.2,1.0,50,8,0.8,3.99999980000001
8,0.88,0.98,0.0,0.0,0.28,1.0,50,13,0.72,2.5714284795918396
9,0.8,1.0,0.04,0.0,0.1,1.0,50,17,0.9,8.99999910000009
10,0.88,0.98,0.0,0.15,0.16,1.0,50,20,0.84,5.24999967187502
11,0.88,1.0,0.1,0.1,0.28,1.0,50,10,0.72,2.5714284795918396
12,0.92,1.0,0.0,0.2777777777777778,0.02,1.0,50,18,0.98,48.99997550001224
13,0.94,1.0,0.0,0.125,0.02,1.0,50,8,0.98,48.99997550001224
14,0.94,1.0,0.0,0.2857142857142857,0.0,1.0,50,14,1.0,100000000.0
15,0.46,1.0,0.02,0.05263157894736842,0.12,1.0,50,38,0.88,7.3333327222222735
16,0.38,1.0,0.0,0.022727272727272728,0.12,1.0,50,44,0.88,7.3333327222222735
17,0.48,0.98,0.0,0.10869565217391304,0.16,1.0,50,46,0.84,5.24999967187502
18,0.66,0.98,0.08,0.18,0.4,1.0,50,50,0.6,1.499999962500001
19,0.66,1.0,0.02,0.06,0.48,1.0,50,50,0.52,1.0833333107638894
20,0.7,1.0,0.04,0.1,0.48,1.0,50,50,0.52,1.0833333107638894
